Model,Name,R2,Adj_R2,MAE,RMSE,MAPE%,MaxErr,Epochs,Time(s)
M01,Ridge/ElasticNet + Softmax,0.2309,0.1369,0.0533,0.0805,84.7,0.7942,11,1.0
M02,MCR-ALS (NMF) + PLSR,0.2189,0.0688,0.0503,0.0832,59.6,0.6606,0,14.2
M03,Two-Stage Hybrid (NNLS + MLP),0.6391,0.6084,0.0362,0.0594,43.0,0.6193,0,49.4
M04,MLP (Multi-Layer Perceptron),0.6097,0.4146,0.0394,0.0545,43.0,0.3706,17,15.5
M05,1D ResNet,0.5767,0.3651,0.0417,0.0622,55.2,0.5663,37,75.5
M06,Adaptive Preprocessing Optimizer,0.5924,0.3886,0.0410,0.0590,67.2,0.4809,20,10.4
M07,Spectral Feature Extraction Optimizer,0.6223,0.4335,0.0404,0.0569,49.5,0.4515,25,15.1
M08,Regularization & Multi-task Optimizer,0.6282,0.4423,0.0404,0.0559,47.6,0.4023,16,8.0
M09,Hyperparameter & Loss Function Optimizer,0.5841,0.3762,0.0440,0.0602,63.8,0.4141,14,24.9
M10,Radial Exhaustive Information Explorer,0.5849,0.3774,0.0416,0.0612,49.3,0.5403,19,17.9
